species,band_type,mode_index,mode1,mode2,frequency_cm1,wavelength_nm,intensity_km_mol,source
H2O-D2O-HX,fundamental,11.0,11,,3755.133,2663.02152280625,92.164,GVPT2_fundamental
H2O-H2O-HX,fundamental,0.0,0,,107.438,93076.9373964519,117.931,GVPT2_fundamental
H2O-H2O-HX,fundamental,1.0,1,,115.663,86458.07215790702,51.291,GVPT2_fundamental
H2O-H2O-HX,fundamental,2.0,2,,116.843,85584.93020548942,142.491,GVPT2_fundamental
H2O-H2O-HX,fundamental,3.0,3,,137.292,72837.45593333917,145.902,GVPT2_fundamental
H2O-H2O-HX,fundamental,4.0,4,,296.433,33734.43577469445,53.104,GVPT2_fundamental
H2O-H2O-HX,fundamental,5.0,5,,488.974,20450.985123953422,100.538,GVPT2_fundamental
H2O-H2O-HX,fundamental,6.0,6,,1589.444,6291.508225517854,94.032,GVPT2_fundamental
H2O-H2O-HX,fundamental,7.0,7,,1601.347,6244.742707233348,39.761,GVPT2_fundamental
H2O-H2O-HX,fundamental,8.0,8,,3612.385,2768.2542143210094,302.897,GVPT2_fundamental
H2O-H2O-HX,fundamental,9.0,9,,3684.172,2714.314098255999,11.734,GVPT2_fundamental
H2O-H2O-HX,fundamental,10.0,10,,3742.15,2672.2605988536,90.74,GVPT2_fundamental
H2O-H2O-HX,fundamental,11.0,11,,3768.454,2653.608084376245,86.446,GVPT2_fundamental
H2O-HDO-HD,fundamental,0.0,0,,100.465,99537.15224207436,45.319,GVPT2_fundamental
H2O-HDO-HD,fundamental,1.0,1,,105.758,94555.49461979236,135.365,GVPT2_fundamental
H2O-HDO-HD,fundamental,2.0,2,,121.272,82459.26512302922,111.376,GVPT2_fundamental
H2O-HDO-HD,fundamental,3.0,3,,159.068,62866.19558930771,102.43,GVPT2_fundamental
H2O-HDO-HD,fundamental,4.0,4,,294.142,33997.18503307926,45.887,GVPT2_fundamental
H2O-HDO-HD,fundamental,5.0,5,,484.309,20647.97474339729,93.437,GVPT2_fundamental
H2O-HDO-HD,fundamental,6.0,6,,1400.272,7141.469657323721,68.191,GVPT2_fundamental
H2O-HDO-HD,fundamental,7.0,7,,1601.779,6243.058499331057,52.32,GVPT2_fundamental
H2O-HDO-HD,fundamental,8.0,8,,2738.939,3651.0488185388576,26.396,GVPT2_fundamental
H2O-HDO-HD,fundamental,9.0,9,,3631.815,2753.4442145318526,298.477,GVPT2_fundamental
H2O-HDO-HD,fundamental,10.0,10,,3725.448,2684.240928876205,55.48,GVPT2_fundamental
H2O-HDO-HD,fundamental,11.0,11,,3774.732,2649.194697795764,90.203,GVPT2_fundamental
H2O-HDO-HH,fundamental,0.0,0,,93.08,107434.46497636443,45.565,GVPT2_fundamental
H2O-HDO-HH,fundamental,1.0,1,,118.682,84258.77555147368,136.117,GVPT2_fundamental
H2O-HDO-HH,fundamental,2.0,2,,110.708,90327.70892799075,110.404,GVPT2_fundamental
H2O-HDO-HH,fundamental,3.0,3,,158.989,62897.433155752915,102.394,GVPT2_fundamental
H2O-HDO-HH,fundamental,4.0,4,,296.01,33782.642478294656,45.881,GVPT2_fundamental
H2O-HDO-HH,fundamental,5.0,5,,481.252,20779.134424376418,93.463,GVPT2_fundamental
H2O-HDO-HH,fundamental,6.0,6,,1398.518,7150.426379925035,68.194,GVPT2_fundamental
H2O-HDO-HH,fundamental,7.0,7,,1602.661,6239.622727451407,52.324,GVPT2_fundamental
H2O-HDO-HH,fundamental,8.0,8,,2733.688,3658.061929525242,26.396,GVPT2_fundamental
H2O-HDO-HH,fundamental,9.0,9,,3630.392,2754.5234784563213,298.486,GVPT2_fundamental
H2O-HDO-HH,fundamental,10.0,10,,3730.548,2680.5713262501918,55.472,GVPT2_fundamental
H2O-HDO-HH,fundamental,11.0,11,,3775.22,2648.8522523190704,90.206,GVPT2_fundamental
H2O,fundamental,0.0,0,,1582.315,6319.854137766501,76.653,GVPT2_fundamental
H2O,fundamental,1.0,1,,3690.106,2709.949253490279,5.809,GVPT2_fundamental
H2O,fundamental,2.0,2,,3777.534,2647.229647701384,65.819,GVPT2_fundamental
HDO-D2O-DX,fundamental,0.0,0,,84.762,117977.39553101626,12.302,GVPT2_fundamental
HDO-D2O-DX,fundamental,1.0,1,,34.056,293634.01456424716,119.953,GVPT2_fundamental
HDO-D2O-DX,fundamental,2.0,2,,108.21,92412.9008409574,129.884,GVPT2_fundamental
HDO-D2O-DX,fundamental,3.0,3,,76.256,131137.2219890894,54.42,GVPT2_fundamental
HDO-D2O-DX,fundamental,4.0,4,,118.309,84524.42333212182,32.389,GVPT2_fundamental
HDO-D2O-DX,fundamental,5.0,5,,392.964,25447.62370089881,55.438,GVPT2_fundamental
HDO-D2O-DX,fundamental,6.0,6,,1175.301,8508.4586842009,42.959,GVPT2_fundamental
HDO-D2O-DX,fundamental,7.0,7,,1392.38,7181.947456872405,48.342,GVPT2_fundamental
HDO-D2O-DX,fundamental,8.0,8,,2661.069,3757.8882772299403,191.953,GVPT2_fundamental
HDO-D2O-DX,fundamental,9.0,9,,2690.071,3717.3740023962196,5.335,GVPT2_fundamental
HDO-D2O-DX,fundamental,10.0,10,,2798.716,3573.067077902867,49.589,GVPT2_fundamental
HDO-D2O-DX,fundamental,11.0,11,,3734.589,2677.6708226795504,35.819,GVPT2_fundamental
HDO-D2O-HX,fundamental,0.0,0,,81.062,123362.36460980485,74.478,GVPT2_fundamental
HDO-D2O-HX,fundamental,1.0,1,,84.308,118612.70579304454,17.331,GVPT2_fundamental
HDO-D2O-HX,fundamental,2.0,2,,80.882,123636.90314285007,127.564,GVPT2_fundamental
HDO-D2O-HX,fundamental,3.0,3,,125.022,79985.92247764394,45.066,GVPT2_fundamental
HDO-D2O-HX,fundamental,4.0,4,,214.466,46627.43744929266,28.358,GVPT2_fundamental
HDO-D2O-HX,fundamental,5.0,5,,473.931,21100.11794965934,91.378,GVPT2_fundamental
HDO-D2O-HX,fundamental,6.0,6,,1175.89,8504.196821131227,43.513,GVPT2_fundamental
HDO-D2O-HX,fundamental,7.0,7,,1426.287,7011.211628515159,46.756,GVPT2_fundamental
HDO-D2O-HX,fundamental,8.0,8,,2687.969,3720.281000264512,11.478,GVPT2_fundamental
HDO-D2O-HX,fundamental,9.0,9,,2747.961,3639.061835302612,11.73,GVPT2_fundamental
HDO-D2O-HX,fundamental,10.0,10,,2795.666,3576.965202567116,49.604,GVPT2_fundamental
HDO-D2O-HX,fundamental,11.0,11,,3623.906,2759.4534736828164,368.088,GVPT2_fundamental
HDO-H2O-DX,fundamental,0.0,0,,96.968,103126.80471908257,66.666,GVPT2_fundamental
HDO-H2O-DX,fundamental,1.0,1,,118.3,84530.85376162299,101.444,GVPT2_fundamental
HDO-H2O-DX,fundamental,2.0,2,,87.063,114859.35472014517,152.336,GVPT2_fundamental
HDO-H2O-DX,fundamental,3.0,3,,117.739,84933.62437255285,92.203,GVPT2_fundamental
HDO-H2O-DX,fundamental,4.0,4,,202.595,49359.559712727365,68.562,GVPT2_fundamental
HDO-H2O-DX,fundamental,5.0,5,,421.508,23724.3421239929,65.912,GVPT2_fundamental
HDO-H2O-DX,fundamental,6.0,6,,1390.64,7190.93367082782,50.208,GVPT2_fundamental
HDO-H2O-DX,fundamental,7.0,7,,1588.921,6293.579101792978,79.538,GVPT2_fundamental
HDO-H2O-DX,fundamental,8.0,8,,2664.732,3752.722600246479,187.486,GVPT2_fundamental
HDO-H2O-DX,fundamental,9.0,9,,3683.614,2714.7252670882453,15.918,GVPT2_fundamental
HDO-H2O-DX,fundamental,10.0,10,,3740.56,2673.396496781231,35.577,GVPT2_fundamental
HDO-H2O-DX,fundamental,11.0,11,,3767.456,2654.3110257956564,86.491,GVPT2_fundamental
HDO-H2O-HX,fundamental,0.0,0,,95.165,105080.64939841327,116.275,GVPT2_fundamental
HDO-H2O-HX,fundamental,1.0,1,,123.225,81152.36356258877,1.857,GVPT2_fundamental
HDO-H2O-HX,fundamental,2.0,2,,110.634,90388.12661568777,174.01,GVPT2_fundamental
HDO-H2O-HX,fundamental,3.0,3,,133.586,74858.1438174659,67.332,GVPT2_fundamental
HDO-H2O-HX,fundamental,4.0,4,,250.275,39956.0483468185,66.072,GVPT2_fundamental
HDO-H2O-HX,fundamental,5.0,5,,481.762,20757.137341674934,101.469,GVPT2_fundamental
HDO-H2O-HX,fundamental,6.0,6,,1426.364,7010.83313936695,51.49,GVPT2_fundamental
HDO-H2O-HX,fundamental,7.0,7,,1590.969,6285.477592586656,77.317,GVPT2_fundamental
