species,mode1,mode2,same_mode,frequency_cm1,wavelength_nm,intensity_km_mol,eps_L_per_mol_cm,t2_au,tx,ty,tz
D2O-D2O-DX,5,5,True,702.16,14241.768257946907,0.48,9.6e-05,4.3e-05,-0.006157,1.2e-05,0.002167
D2O-D2O-DX,5,6,False,1548.46,6458.029267788642,0.0,0.0,0.0,1e-06,-4.8e-05,-0.0
D2O-D2O-DX,5,7,False,1559.0,6414.368184733804,0.04,7e-06,1e-06,-0.0,0.00122,-4e-06
D2O-D2O-DX,5,8,False,3035.55,3294.2959266030866,0.0,0.0,0.0,-2e-06,0.000123,-0.0
D2O-D2O-DX,5,9,False,3062.6,3265.1995036896756,0.02,4e-06,0.0,1e-06,0.000674,-2e-06
D2O-D2O-DX,5,10,False,3146.96,3177.6698782316903,0.07,1.3e-05,1e-06,-2e-06,-0.001138,4e-06
D2O-D2O-DX,5,11,False,3169.87,3154.703505191065,0.02,4e-06,0.0,-0.000271,-1e-06,-0.000569
D2O-D2O-DX,6,6,True,2329.75,4292.306041420753,0.02,4e-06,0.0,-0.00048,-1e-06,-0.000489
D2O-D2O-DX,6,7,False,2351.39,4252.803660813392,0.01,2e-06,0.0,-0.000364,-1e-06,-0.000353
D2O-D2O-DX,6,8,False,3813.39,2622.3386540584625,0.03,6e-06,1e-06,0.000703,0.0,8.1e-05
D2O-D2O-DX,6,9,False,3856.31,2593.152521451854,0.01,2e-06,0.0,-0.00039,-0.0,-0.000169
D2O-D2O-DX,6,10,False,3944.17,2535.387673452209,0.07,1.3e-05,1e-06,0.000899,1e-06,0.000504
D2O-D2O-DX,6,11,False,3961.54,2524.2708643608294,1.48,0.000293,2.3e-05,1e-06,0.004803,-1.2e-05
D2O-D2O-DX,7,7,True,2339.8,4273.869561500983,0.03,6e-06,1e-06,0.000348,3e-06,0.000847
D2O-D2O-DX,7,8,False,3815.22,2621.0808288906014,0.51,0.0001,8e-06,-0.002862,-0.0,-8e-06
D2O-D2O-DX,7,9,False,3868.79,2584.78749169637,0.0,0.0,0.0,-6e-05,0.0,3e-06
D2O-D2O-DX,7,10,False,3943.56,2535.7798537362182,1.71,0.000339,2.7e-05,-0.004722,-7e-06,-0.002124
D2O-D2O-DX,7,11,False,3976.09,2515.0336134242434,0.05,9e-06,1e-06,-0.0,0.000842,-2e-06
D2O-D2O-DX,8,8,True,5209.75,1919.477902010653,0.04,9e-06,1e-06,-0.000634,1e-06,0.000357
D2O-D2O-DX,8,9,False,5326.72,1877.3278865793584,0.03,5e-06,0.0,0.000545,0.0,7.3e-05
D2O-D2O-DX,8,10,False,5358.21,1866.2949007224427,0.55,0.000108,6e-06,-0.001609,-6e-06,-0.001927
D2O-D2O-DX,8,11,False,5434.72,1840.0211970441899,0.0,0.0,0.0,-0.0,-3.2e-05,0.0
D2O-D2O-DX,9,9,True,5338.0,1873.3608092918696,0.23,4.5e-05,3e-06,-0.001212,-2e-06,-0.001074
D2O-D2O-DX,9,10,False,5458.74,1831.9245833287537,0.03,5e-06,0.0,0.000449,1e-06,0.000311
D2O-D2O-DX,9,11,False,5407.24,1849.3723230335625,1.22,0.000242,1.4e-05,1e-06,0.003736,-9e-06
D2O-D2O-DX,10,10,True,5474.04,1826.8043346413253,0.36,7.2e-05,4e-06,0.001735,3e-06,0.001042
D2O-D2O-DX,10,11,False,5566.61,1796.4254725946314,0.01,1e-06,0.0,-0.0,-0.000265,1e-06
D2O-D2O-DX,11,11,True,5542.2,1804.3376276568872,0.01,2e-06,0.0,-0.000293,-1e-06,-0.000189
D2O-H2O-DX,0,0,True,175.28,57051.57462345961,1.17,0.000232,0.000414,-0.020027,0.002581,-0.002483
D2O-H2O-DX,0,1,False,212.47,47065.46806607992,0.01,2e-06,4e-06,-0.0013,0.000328,-0.001308
D2O-H2O-DX,0,2,False,217.71,45932.66271645767,0.0,0.0,0.0,-0.000294,-0.000242,-0.000207
D2O-H2O-DX,0,3,False,231.93,43116.45755184754,0.21,4.1e-05,5.5e-05,0.00069,0.007235,0.001595
D2O-H2O-DX,0,4,False,367.3,27225.70106180234,0.95,0.000189,0.00016,0.001068,0.012328,0.002692
D2O-H2O-DX,0,5,False,463.71,21565.202389424427,0.17,3.5e-05,2.3e-05,0.001466,-0.001165,0.004445
D2O-H2O-DX,0,6,False,1282.9,7794.83981604178,0.05,9e-06,2e-06,0.00015,0.00145,0.00033
D2O-H2O-DX,0,7,False,1690.05,5916.984704594539,0.22,4.3e-05,8e-06,0.000232,0.002742,0.000601
D2O-H2O-DX,0,8,False,2741.91,3647.0927200382216,0.0,0.0,0.0,3.1e-05,0.000193,5.1e-05
D2O-H2O-DX,0,9,False,2858.94,3497.7998838730437,0.38,7.4e-05,8e-06,0.000245,0.002771,0.000608
D2O-H2O-DX,0,10,False,3778.11,2646.8260585319113,0.27,5.4e-05,4e-06,0.000196,0.002057,0.000467
D2O-H2O-DX,0,11,False,3867.82,2585.4357234824784,0.43,8.6e-05,7e-06,-0.002348,0.000441,-0.001092
D2O-H2O-DX,1,1,True,222.61,44921.61178743093,0.69,0.000137,0.000191,0.011419,0.000707,-0.007776
D2O-H2O-DX,1,2,False,224.59,44525.57994567879,0.37,7.2e-05,0.0001,0.001482,0.009629,0.002355
D2O-H2O-DX,1,3,False,252.12,39663.65222909726,0.02,3e-06,4e-06,0.00032,0.001899,0.000433
D2O-H2O-DX,1,4,False,353.16,28315.777551251555,0.29,5.7e-05,5.1e-05,-0.001122,-0.006787,-0.001861
D2O-H2O-DX,1,5,False,514.61,19432.191368220592,0.49,9.7e-05,5.9e-05,0.003772,0.000935,-0.006613
D2O-H2O-DX,1,6,False,1295.76,7717.478545409644,0.04,8e-06,2e-06,-0.000137,-0.001365,-0.000301
D2O-H2O-DX,1,7,False,1710.2,5847.26932522512,0.0,0.0,0.0,-0.00012,-2e-05,-6.7e-05
D2O-H2O-DX,1,8,False,2772.06,3607.425524700043,0.19,3.7e-05,4e-06,-0.000172,-0.001986,-0.000417
D2O-H2O-DX,1,9,False,2888.95,3461.465238235345,0.03,5e-06,1e-06,-5.5e-05,-0.000724,-0.000153
D2O-H2O-DX,1,10,False,3799.07,2632.2231493497093,0.1,2e-05,2e-06,-0.000138,-0.001236,-0.000273
D2O-H2O-DX,1,11,False,3887.92,2572.0693841437064,0.74,0.000147,1.2e-05,0.002847,-0.000664,0.001807
D2O-H2O-DX,2,2,True,220.14,45425.63823021714,1.3,0.000258,0.000365,0.01817,-0.000437,-0.005911
D2O-H2O-DX,2,3,False,250.94,39850.16338566988,0.37,7.3e-05,9.1e-05,0.009182,-0.00036,-0.002491
D2O-H2O-DX,2,4,False,348.55,28690.28833739779,10.76,0.00213,0.001907,-0.04004,0.007398,-0.015781
D2O-H2O-DX,2,5,False,499.23,20030.84750515794,0.68,0.000135,8.4e-05,-0.000944,-0.00892,-0.001949
D2O-H2O-DX,2,6,False,1295.53,7718.848656534392,0.01,1e-06,0.0,4e-05,-0.000117,0.000532
D2O-H2O-DX,2,7,False,1711.8,5841.80394905947,0.13,2.7e-05,5e-06,0.002193,-0.000166,-7.1e-05
D2O-H2O-DX,2,8,False,2771.85,3607.69882930173,0.69,0.000136,1.5e-05,0.002518,-0.000856,0.002877
D2O-H2O-DX,2,9,False,2889.01,3461.3933492788183,0.13,2.6e-05,3e-06,-0.001463,0.000313,-0.000753
D2O-H2O-DX,2,10,False,3800.49,2631.2396559391027,0.36,7.1e-05,6e-06,0.000786,-0.000552,0.002222
D2O-H2O-DX,2,11,False,3892.32,2569.1618366424136,0.08,1.6e-05,1e-06,-6.1e-05,-0.001107,-0.000229
D2O-H2O-DX,3,3,True,268.56,37235.62704795949,0.76,0.000151,0.000175,-0.011701,0.002394,-0.005703
D2O-H2O-DX,3,4,False,366.37,27294.811256380162,0.45,8.9e-05,7.6e-05,-0.00157,-0.00171,0.008393
D2O-H2O-DX,3,5,False,517.94,19307.255666679535,1.54,0.000305,0.000184,0.00128,0.013175,0.002941
D2O-H2O-DX,3,6,False,1319.89,7576.388941502701,0.02,3e-06,1e-06,-0.000606,0.000194,-0.000607
D2O-H2O-DX,3,7,False,1731.17,5776.440210955596,0.1,2e-05,4e-06,-0.001328,0.00042,-0.001313
D2O-H2O-DX,3,8,False,2790.91,3583.060722130058,0.57,0.000113,1.3e-05,0.003511,-0.000415,0.000351
D2O-H2O-DX,3,9,False,2905.3,3441.985337142464,0.34,6.7e-05,7e-06,0.00261,-0.000354,0.000464
D2O-H2O-DX,3,10,False,3823.3,2615.541547877488,0.21,4.1e-05,3e-06,0.000917,-0.000426,0.001535
D2O-H2O-DX,3,11,False,3911.98,2556.2502875781574,0.03,5e-06,0.0,-6.2e-05,-0.000639,-0.000142
D2O-H2O-DX,4,4,True,415.41,24072.602970559205,4.11,0.000814,0.000612,0.02349,-0.003789,0.006741
D2O-H2O-DX,4,5,False,614.89,16263.071443672852,0.02,4e-06,2e-06,0.00014,0.001435,0.000308
D2O-H2O-DX,4,6,False,1417.17,7056.3164616806735,0.13,2.6e-05,6e-06,0.002254,-0.00037,0.000687
D2O-H2O-DX,4,7,False,1836.14,5446.207805505027,0.27,5.4e-05,9e-06,0.002665,6.8e-05,-0.001461
